station_id,name,address,city,services
214,טל עופרה,צומת טל עופרה בכניסה לאלפי מנשה,אלפי מנשה,yellow | 24/7 | כספומט | בנזין 98 | פז charge | תרופות ללא מרשם
274,יבנה הירוקה,המיסב 6,יבנה,yellow market | 24/7 | פז charge | תרופות ללא מרשם
257,יהוד,רח' אלטלף  21,יהוד-מונוסון,פז wash | yellow | 24/7 | תרופות ללא מרשם
353,יזרעאליה,דרך שמחה גולן נווה שאנן,חיפה,yellow | 24/7
420,יסמין,רח' הטחנה איזור תעשיה,בנימינה-גבעת עדה,yellow | 24/7 | כספומט | פז charge | תרופות ללא מרשם
345,יפעת,בכניסה לקיבוץ יפעת,יפעת,yellow | 24/7
153,יציב,"כביש גהה בני ברק ע""י קוקה קולה",בני ברק,yellow | שומרות שבת | כספומט | בנזין 98 | תדלוק בשירות מלא | תרופות ללא מרשם
368,יקנעם החדשה,התעשייה 3 ת.ד. 86 יוקנעם עילית,יקנעם עילית,yellow | 24/7 | מיכלי גז
433,ירכא,סיטי מול,ירכא,yellow | 24/7 | פז charge | תרופות ללא מרשם
161,ירמיהו,ירמיהו  9,תל אביב - יפו,yellow | 24/7 | בנזין 98
238,כוכב יאיר,כביש כוכב יאיר -צור יגאל,כוכב יאיר,yellow market | 24/7 | בנזין 98
527,כנפי נשרים,"עקיבא אזולאי 1 א""ת גבעת שאול",ירושלים,פז wash | yellow | שומרות שבת | בנזין 98 | פז charge
407,כפר יאסיף,כפר יאסיף,כפר יאסיף,24/7 | תדלוק בשירות מלא
423,כפר כנא,בכניסה לכפר כנא   ליד משרד הרישוי,כפר כנא,yellow | 24/7 | בנזין 98 | תדלוק בשירות מלא
421,כפר מנדא,כביש 781 מול כפר מנדא,כפר מנדא,yellow | 24/7
251,כפר סבא מזרח,"א""ת עתיר ידע ליד כביש 55  כפר סבא מזרח",כפר סבא,"yellow | 24/7 | גפ""מ | פז charge | מיכלי גז | תרופות ללא מרשם"
328,כפר תבור,כביש 65 מרכז כפר תבור לכיוון צפון,כפר תבור,yellow | 24/7 | פז charge | אוריאה | תרופות ללא מרשם
312,כרכור,כביש פרדס חנה-כרכור רחוב המושב,פרדס חנה-כרכור,yellow | 24/7
603,כרמי מרכז הנגב,דרך מצדה מרכז הנגב,באר שבע,24/7 | אוריאה
369,כרמיאל,קש פז,כרמיאל,פז wash | 24/7 | פז charge
424,כרמיאל מערב,"דרור 1 פינת קק""ל",כרמיאל,פז wash | yellow | 24/7 | בנזין 98
392,לב המפרץ,כביש 75 דרך העמקים  מול קניון לב המפרץ,חיפה,yellow | 24/7 | בנזין 98 | אוריאה
252,לוד ויסוצקי,רח' אבא הילל סילבר  7,לוד,פז wash | yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם
232,לוד יוספטל,חטיבת יפתח שכ' יוספטל לוד  6,לוד,yellow | 24/7 | אוריאה
196,למד,כביש קאנטרי קלאב המשך אבן גבירול מול אזורי חן,תל אביב - יפו,
610,לשם אילת,דרך הערבה 4 ת.ד. 9113,אילת,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא
503,מאה שערים,שבטי ישראל  44,ירושלים,yellow | שומרות שבת
418,מבוא עתלית,בכניסה לעתלית  מול מחנה המעפילים,עתלית,"yellow | 24/7 | גפ""מ | פז charge | מיכלי גז | תרופות ללא מרשם"
626,"מבואות ב""ש","בכניסה הצפונית לב""ש מול הנשיאים",באר שבע,yellow | 24/7 | פז charge | תרופות ללא מרשם
429,מבואות נצרת,רחוב 7000,נצרת,24/7 | תדלוק בשירות מלא
526,מבשרת ירושלים,שכונת נוף הרים מבשרת ציון,ירושלים,yellow | שומרות שבת | בנזין 98 | תדלוק בשירות מלא
415,מגדל העמק,שד' המדע א.ת רמת גבריאל  22,מגדל העמק,yellow market | 24/7 | כספומט | פז charge | תרופות ללא מרשם
314,מג'דל כרום,לכיוון הכניסה לכפר,מג'ד אל-כרום,תדלוק בשירות מלא
263,מודיעין הראל דרך צור,המכונאי 1  אזור תעשיה ישפרו סנטר,מודיעין-מכבים-רעות,"yellow | שומרות שבת | גפ""מ | בנזין 98 | פז charge | תרופות ללא מרשם"
253,מודיעין ליגד,אזור התעשיה מול בית העלמין.,מודיעין-מכבים-רעות,yellow | 24/7 | בנזין 98 | פז charge | אוריאה
218,מויאל,"הלוחמים 1 מול בי""ח ולפסון",חולון,yellow | 24/7 | כספומט | בנזין 98 | פז charge
259,מזכרת בתיה,כביש 411 ליד הכניסה למזכרת בתיה.,מזכרת בתיה,yellow
541,מישור אדומים,מישור אדומים,ירושלים,פז wash | שומרות שבת | בנזין 98 | תרופות ללא מרשם
248,מכון הרישוי פולג,גיבורי ישראל א.ת. פולג,נתניה,yellow | שומרות שבת
360,מכר,כביש צפת - עכו ליד כפר מכר,ג'דיידה-מכר,yellow | 24/7 | אוריאה
513,מנדלבאום,פיקוד מרכז  1,ירושלים,פז wash | yellow | 24/7 | בנזין 98 | פז charge | תרופות ללא מרשם
195,מנחם,"כביש ראשל""צ-נס ציונה צומת גן הורדים",ראשון לציון,yellow | 24/7 | פלאפל בריבוע | כספומט | בנזין 98 | פז charge | תרופות ללא מרשם
528,מסילת ציון,כביש בית שמש-שער הגיא,מסילת ציון,"yellow | 24/7 | גפ""מ | בנזין 98 | פז charge | אוריאה | מיכלי גז"
521,מעלה אדומים,"כביש יריחו-י""ם דרך הר הבית 1",ירושלים,פז charge | תדלוק בשירות מלא
